question,answer,
黄龙汤方解,方中法取大承气汤之意，以大黄泻热通便，荡涤积滞；芒硝润燥软坚，以助大黄泻热攻逐之力；积实、厚朴行气导滞，荡涤胃肠实热积滞；人参、当归益气养血，与前药相伍，扶正祛邪，使攻下而不伤正；桔梗开宣肺气而通肠腑，与承气性降相伍，使气机升降复常，寓“欲降先升”之妙；生姜、大枣、甘草和中益胃。诸药相伍，峻下热结与补益气血并用，攻补兼施，以攻为主，热结得去，气血得复，诸症自除。方名“黄龙”者，乃喻本方之功效，有龙能兴云致雨而润燥土之意。,
黄龙汤运用,本方为治疗阳明腑实兼气血不足证之基础方。以大便秘结，或自利清水，院腹胀痛，身热口渴，神倦少气，舌苔焦黄，脉虚为辨证要点。本方虽为攻补兼施之剂，但其攻下之力较强，使用时当据气血虚衰之程度，选用相应补益药。,
黄龙汤附方,新加黄龙汤（《温病条辨》）细生地五钱(15g)、生甘草二钱(6g)、人参另煎，一钱五分(4.5g)、生大黄三钱(9g)、芒硝－钱(3g)、玄参五钱(15g)、麦冬连心，五钱(15g)、当归一钱五分(4.5g)、海参洗，二条(2条）、姜汁六匙(6匙），用法以水八杯，煮取三杯。先用一杯，冲参汁五分、姜汁二匙，顿服之。如腹中有响声，或转矢气者，为欲便也；候一二时不便，再如前法服一杯；候二十四刻，不便，再服第三杯。如服一杯即得便，止后服。酌服益胃汤（沙参、麦冬、细生地、玉竹、冰糖）一剂，余参或可加入。功用为泄热通便，滋阴益气。主治热结里实，气阴不足证。症见大便秘结，腹中胀满而硬，神倦少气，口干咽燥，唇裂舌焦，苔焦黄或焦黑燥裂，脉沉细。,
黄龙汤鉴别,黄龙汤和新加黄龙汤均为攻补兼施之剂。然黄龙汤含大承气汤之意，泻下热结之力强，适用热结较甚兼气血不足者；新加黄龙汤以调胃承气汤缓下热结，滋阴增液之力强，适用于热结里实、气阴不足者。,
黄龙汤方论选录,吴有性《温疫论》提及证本应下，耽误失治，或为缓药因循，火邪壅闭，耗气搏血，精神殆尽，邪火独存，以致循衣摸床，撮空理线，肉酮筋惕，肢体震颤，目中不了了，皆缘应下失下之咎。邪热一毫未除，元神将脱，补之则邪毒愈甚，攻之则几微之气不胜其攻。攻之不可，补之不可，补泻不及，两无生理，不得已勉用陶氏黄龙汤。,
黄龙汤医案举例,王氏子于四月间患感冒，昏热喘胀便闭，腹中雷鸣，服硝黄不应，脉之气口弦滑，按之则茬，其腹胀满，按之则濡，此痰湿夹密、浊阴铜闭之候，与黄龙汤去芒硝，易桂、芩、半夏、木香，下疲垢甚多。因宿有五更咳嗽，更以小剂异功加细辛润之。（《续名医类案》）,
黄龙汤方歌,黄龙积朴与硝黄，参归甘桔枣生姜，阳明腑实气血弱，攻补兼施效力强。,
增液承气汤出自,《温病条辨》,
增液承气汤组成,玄参－两(30g)、麦冬连心，八钱(24g)、细生地八钱(24g)、大黄三钱(9g)、芒硝－钱五分(4.5g),
增液承气汤用法,水八杯，煮取三杯，先服一杯，不知，再服（现代用法水煎服，芒硝溶服）。,
增液承气汤功用,滋阴增液，泄热通便。,
增液承气汤主治,阳明热结阴亏证。大便秘结，下之不通，院腹胀满，口干唇燥，舌红苔黄，脉细数。,
增液承气汤证治机理,本证系阳明温病，热结阴亏所致。胃肠燥热内结，传导失司，则大便秘结，脘腹胀满；燥屎不下，热结愈盛则阴津愈枯，热结津亏，肠道失于濡润，故下之不通，即“津液不足，无水舟停＂（《温病条辨》）；口干唇燥，舌红苔黄，脉细数，皆为热伤津亏之象。治应甘寒、咸寒濡润以滋阴增液，咸苦润下以泄热通便。,
增液承气汤方解,方中重用甘咸性寒之玄参，滋阴降火，泄热软坚。麦冬、生地黄甘寒质润，与玄参相伍（三药相合即增液汤），滋阴增液，泄热降火，共奏滋阴增液之功。热结既成，恐独取清润之法难以尽下燥结，故以大黄、芒硝泄热通便，软坚润燥。诸药合伍，重用甘寒，佐以苦寒，寓攻下千增水行舟之中，攻补兼施，使阴液得复，热结得除，诸症可愈。,
增液承气汤运用,本方为治疗热结阴亏，肠燥便秘证之基础方。以燥屎不行，下之不通，口干唇燥，苔黄，脉细数为辨证要点。津液不足，无水舟停者，《温病条辨》主张先服增液汤；不下者，再服增液承气汤。方中玄参、生地黄、麦冬用量宜重，否则难达“增水行舟”之功。本方虽为攻补兼施之剂，但方中有攻伐之大黄、芒硝，不宜久服，中病即止。,
增液承气汤方论选录,温病热结阴亏，燥屎不行者，下法宜慎。此乃津液不足，无水舟停，间服增液汤（生地、玄参、麦冬），即有增水行舟之效；再不下者，然后再与增液承气汤缓缓服之，增液通便，邪正兼顾。方中生地、玄参、麦冬，甘寒、咸寒，滋阴增液；配伍大黄、芒硝，苦寒、咸寒，泄热通便，合为滋阴增液，泄热通便之剂。（冉小峰《历代名医良方注释》）,
增液承气汤方歌,增液承气玄地冬，加入硝黄效力增，热结阴亏大便秘，增水行舟肠腑通。,
