question,answer,source
子午流注逐日按时定穴法是什么？,根据徐凤的《子午流注逐日按时定穴 歌》，在推算出日干以后，直接取穴，方法简便，推算迅速，建议熟练 背诵。 甲日戌时胆窍阴，丙子时中前谷荥，戊寅陷谷阳明输，返本丘墟木在 寅， 庚辰经注阳溪穴，壬午膀胱委中寻，甲申时纳三焦水，荥合天干取液 门。 乙日酉时肝大敦，丁亥时荥少府心，己丑太白太冲穴，辛卯经渠是肺 经， 癸巳肾宫阴谷合，乙未劳宫火穴荥。 丙日申时少泽当，戊戌内庭治胀康，庚子时在三间输，本原腕骨可祛 黄， 壬寅经火昆仑上，甲辰阳陵泉合长，丙午时受三焦火，中渚之中仔细 详。 丁日未时心少冲，己酉大都脾土逢，辛亥太渊神门穴，癸丑复溜肾水 通， 乙卯肝经曲泉合，丁巳包络大陵中。 戊日午时厉兑先，庚申荥穴二间选，壬戌膀胱寻束骨，冲阳土穴必还 原， 甲子胆经阳辅是，丙寅小海穴安然，戊辰气纳三焦脉，经穴支沟刺必 痊。 己日巳时隐白始，辛未时中鱼际取，癸酉太溪太白原，乙亥中封内踝 比， 丁丑时合少海心，己卯间使包络止。 庚日辰时商阳居，壬午膀胱通谷之，甲申临泣为输木，合谷金原返本 归， 丙戌小肠阳谷火，戊子时居三里宜，庚寅气纳三焦合，天井之中不用 疑。 辛日卯时少商本，癸巳然谷何须忖，乙未太冲原太渊，丁酉心经灵道 引， 己亥脾合阴陵泉，辛丑曲泽包络准。 壬日寅时起至阴，甲辰胆脉侠溪荥，丙午小肠后溪输，返本京骨本原 寻， 三焦寄有阳池穴，返本还原似的亲，戊申时注解溪胃，大肠庚戌曲池 真， 壬子气纳三焦寄，井穴关冲一片金，关冲属金壬属水，子母相生恩义 深。 癸日亥时井涌泉，乙丑行间穴必然，丁卯输穴神门是，本寻肾水太溪 原， 包络大陵原并过，己巳商丘内踝边。辛未肺经合尺泽，癸酉中冲包络 连， 子午截时安定穴，留传后学莫忘言。,手动录入
一、四、二、五、三、○反克取穴法是什么？,根据六甲周期、阳进阴退开井 穴、阳日阳时开阳经、阴日阴时开阴经、地支顺时推进等基础，进行推 算，解决癸日十时无穴可开的不足。此法系运用反克规律推算而来，介 绍其开穴（表10-6）如下： 表 10 - 6 一、四、二、五、三、○反克取穴 根据上述按时开穴规律，设计的“子午流注计算盘”，临床运用也比较方 便（图10-1、图10-2）。制盘时，剪去时间旁的空白（图中有剪去说 明），把盘（一）放在盘（二）上面，其剪去的空白即可露出一天应开 穴名。 计算盘是根据前面第一、第二两法，相互补充而成。其中有“△”号者， 为两法共通取穴，凡有〈〉号者，为一、四、二、五、三、○反克取 穴，没有符号的是徐氏开穴。,手动录入
纳支法是什么？,纳支法是以一天十二时辰配合脏腑（见前地支配脏腑）按时开穴。临床 上有两种运用方法，一种是补母泻子取穴法，一种是一日六十六穴法,手动录入
补母泻子取穴法是什么？,补母泻子取穴法 以本经经脉的五行属性和五输穴的五行属性为基 础，推算母子关系，按照“虚则补其母，实则泻其子”进行按时取穴。例 如手太阴肺经病，肺属金，它的母穴是属土的太渊穴，子穴是属水的尺 泽穴。如果肺经邪气实，就在肺气方盛的寅时，取尺泽穴行泻法；如果 正气虚，又应当在肺气方衰的卯时取太渊穴行补法。 若本经开穴时间已过，或不虚不实的病证。可取本经同一属性的经穴， 又称本穴，或取本经所属脏腑原穴进行治疗。例如肺经本穴为经渠，肺 之原穴为太渊。十二经补母泻子取穴见表10-7。,手动录入
一日六十六穴法是什么？,一日六十六穴法 纳支法的运用比较灵活，所以临床上都很重视。由 于“虚则补其母，实则泻其子”取穴尚不完善，阴经一天只取20穴，阳经 一天只取24穴，还有22穴没有取用。所以窦汉卿在《标幽赋》里提出 了“一日取六十六穴之法，方见幽微”。就是说应按十二时辰所属脏腑， 阴经开井、荥、输、经、合五穴，阳经开井、荥、输、原、经、合六 穴。临床运用中，根据病因、病性、病势，在相关经脉经气旺盛时，灵 活取用本经五输穴进行治疗。,手动录入
灵龟八法是什么？,灵龟八法又称“奇经纳甲法”“奇经纳卦法”。它是运用古代哲学的八卦九 宫学说，结合人体奇经八脉气血的会合，取其与奇经八脉相通的8个经 穴，按照日时干支的推演数字变化，采用相加、相除的方法，做出按时 取穴的一种针刺法。此法包含着“天人相应”之说、阴阳消长之理、五行 生克之变、气血流注之机，运用八脉八穴而发展起来。这种方法和子午 流注针法相辅相成，配合应用。兹将灵龟八法的八脉、八穴和八卦干支 等,手动录入
灵龟八法由哪些组成？,九宫八卦、八脉交会八穴、八法逐日干支代数、八法临时干支代数,手动录入
九宫八卦是什么？,八卦是古人取阴阳之象，结合自然界的天、地、水、火、风、雷、山、 泽而成的。即：乾为天作形，坤为地作形，坎为水作形，离为火作形， 巽为风作形，震为雷作 形，艮为山作形，兑为泽作形。把八卦的名称和图像结合四方，即成九 宫。由于八卦各有方位，配合九宫，根据戴九履一、左三右七、二四为 肩、八六为足、五十居中的九宫数字，每宫再配上一条奇经及其配属的 穴位，可总结为歌诀： 坎一联申脉，照海坤二五，震三属外关，巽四临泣数， 乾六是公孙，兑七后溪府，艮八系内关，离九列缺主。 此八穴的代表数字，在灵龟八法的推算中占有极为重要的地位，所以运 用本法必须牢记,手动录入
灵龟八法中的八脉交会八穴是什么？,八脉指任、督、冲、带、阴维、阳维、阴跷、阳跷；交指交通；会指会 合。它具有统率和调节十二经脉气血的作用，而十二经脉本身又有上下 循行、交错相会的特性，所以在四肢部位的十二经上有八个经穴相通于 八脉。即：小肠经后溪通于督脉，肺经列缺通于任脉，脾经公孙通于冲 脉，胆经临泣通于带脉，肾经照海通于阴跷，膀胱经申脉通于阳跷，心 包经内关通于阴维，三焦经外关通于阳维。另外这八个经穴彼此之间又 有着密切的联系和沟通。如公孙与内关相通，合于心、胃、胸；后溪与 申脉相通，合于目内眦、颈项、耳、肩、小肠、膀胱；临泣与外关相 通，合于目锐眦、耳后、颈项、肩；列缺与照海相通，合于肺系、咽 喉、胸膈等。这样就使八脉八穴分为四组，相互结合，有着一致的主治 范围，如内关配公孙治胸、心、胃部之疾。,手动录入
八法逐日干支代数是什么？,灵龟八法的组成，除八脉、八穴、八卦外，尚有日时的干支数字作为八 法取穴的依据。八法逐日干支代数的由来，是根据五行生成数和干支顺 序的阴阳定出的，它是演算灵龟八法穴位的基本数字（表10-9）。宜牢 记下列歌诀： 甲己辰戌丑未十，乙庚申酉九为期，丁壬寅卯八成数， 戊癸巳午七相宜，丙辛亥子亦七数，逐日干支即得知。,手动录入
八法临时干支代数是什么？,每日每个时辰的干支，亦各有一个代数，这个代数与逐日干支的代数有 着同样的意义，是推演八法必须掌握的内容（表10-10）。一般宜牢记 下列歌诀，以利推算： 甲己子午九宜用，乙庚丑未八无疑，丙辛寅申七作数，丁壬卯酉六须 知， 戊癸辰戌各有五，巳亥单加四共齐，阳日除九阴除六，不及零余穴下 推。,手动录入
灵龟八法的临床应用有哪些？,有开穴法、定时取穴、配穴的治疗、按时取穴、配合病穴、流注、八法联合应用,手动录入
开穴法如何应用？,运用灵龟八法，是将日、时的干支数字加起来，得出四个数字的和数， 然后按照阳日用9除，阴日用6除的公式，去除干支的和数，再将它的余 数，求得八卦所分配的某穴的数字，就是当时应开的腧穴。 如欲求甲子日的子、丑等时所开穴位，首先要从甲日子时上起出时干。 甲日子时按时干支歌诀推算，则仍起于“甲子”，再按六十环周表的顺序 排列，第二个时辰就是“乙丑”。 八法逐日干支代数，甲为10，子为7；八法临时干支代数，甲为9，子亦 为9。四数相加的总和为35，由于天干的甲属阳，故用9除，所剩的余数 是8。8为内关穴所应，故甲子日甲子时应开内关穴。凡除尽不余，遇到 这种情况，阳日作9计算，应开的是列缺，阴日则作6计算，应开的穴是 公孙。 以上是根据公式计算按时所开的经穴，临床运用时还有父母、夫妻、男 女、主客等的配用关系，就是公孙配内关，临泣配外关，后溪配申脉， 列缺配照海，这样综合应用就可以提高疗效。 为便于掌握和运用灵龟八法开穴，可绘制灵龟八法逐日按时开穴环周盘,手动录入
如何运用灵龟八法定时取穴、配穴的治疗？,根据病情选取与病情适应的八法开穴的穴位，再配以适当的经穴进行治 疗。例如：头面之疾可选后溪、列缺、临泣、照海适应证的开穴时间； 胃心胸诸疾可选公孙、内关适应证的开穴时间进行治疗。,手动录入
如何运用灵龟八法按时取穴、配合病穴？,根据患者就诊时间所开的八法穴，再配合与疾病相适应的穴位进行治 疗，以扶正驱邪，消除病痛。例如厥心痛，适逢丙申日己丑时，即先开 公孙、内关，再取厥阴俞、巨阙针刺，以提高疗效。,手动录入
流注、八法联合应用如何应用？,子午流注、灵龟八法二者以“时穴”为主，二者联合应用，可先开八法 穴，再配纳甲按时取穴；或先开八法穴，再配纳子取穴；或根据病情， 预定八法开穴时间，再配纳甲定时取穴。运用时穴法，必须根据病情， 适应配穴，发挥时穴的疗效。,手动录入
飞腾八法是什么？,"飞腾八法也是以八脉八穴为基础，按时开穴的一种方法，它的运用与灵 龟八法略有不同。本法不论日干支和时干支，均以天干为主，不用零余 方法壬甲公孙即是乾，丙居艮上内关然，戊为临泣生坎水，庚属外关震相
连，
辛上后溪装巽卦，乙癸申脉到坤传，己土列缺南离上，丁居照海兑金
全。
上述表、歌，是每日按天干时的开穴。如“甲己还生甲”的甲子时，开公
孙穴。“乙庚丙作初”乙丑时开申脉穴。丙寅时则取内关穴（丙申、丙
戊、丙辰等皆同），戊辰时开临泣穴，己巳时开列缺穴，庚午时取外关
穴……治病时先取开穴，再取配穴。如丙寅时先取内关，再取配穴公孙
穴。",手动录入
