content,index
切脉诊断在经络腧穴按诊的组成部分,"《灵枢·九针十二原》
指出：“凡将用针，必先诊脉，视气之剧易，乃可以治也。”目前临床切
脉，独取手太阴肺经寸口，但在临床上遇到危重患者时，除了寸口之
外，还须兼切趺阳、太溪二脉，以验胃气、肾气之存亡。《素问·三部
九候论》所说的对人身上、中、下各部经穴的遍诊法，以及《伤寒论》
提出的人迎、寸口、趺阳上中下三部合参诊脉法，都是以经络学说为依
据的。"
十二经脉的表里属络关系,"手太阴肺经属肺络大肠，手阳明大肠经属大肠络
肺，足阳明胃经属胃络脾，足太阴脾经属脾络胃，手少阴心经属心络小
肠，手太阳小肠经属小肠络心，足太阳膀胱经属膀胱络肾，足少阴肾经
属肾络膀胱，手厥阴心包经属心包络三焦，手少阳三焦经属三焦络心
包，足少阳胆经属胆络肝，足厥阴肝经属肝络胆。"
十二经脉的表里属络关系之手太阴肺经属络的脏腑,手太阴肺经属肺络大肠
十二经脉的表里属络关系之手阳明大肠经属络的脏腑,手阳明大肠经属大肠络肺
十二经脉的表里属络关系之足阳明胃经属络的脏腑,足阳明胃经属胃络脾
十二经脉的表里属络关系之足太阴脾经属络的脏腑,足太阴脾经属脾络胃
十二经脉的表里属络关系之手少阴心经属络的脏腑,手少阴心经属心络小肠
十二经脉的表里属络关系之手太阳小肠经的脏腑,手太阳小肠经属小肠络心
十二经脉的表里属络关系之足太阳膀胱经属络的脏腑,足太阳膀胱经属膀胱络肾
十二经脉的表里属络关系之足少阴肾经属络的脏腑,足少阴肾经属肾络膀胱
十二经脉的表里属络关系之手少阳三焦经属络的脏腑,手少阳三焦经属三焦络心包
十二经脉的表里属络关系之手厥阴心包经属络的脏腑,手厥阴心包经属心包络三焦
十二经脉的表里属络关系之足少阳胆经属络的脏腑,足少阳胆经属胆络肝
十二经脉的表里属络关系之足厥阴肝经属络的脏腑,足厥阴肝经属肝络胆
手太阴肺经和手阳明大肠经的交接,手太阴肺经和手阳明大肠经在食指端交接
手少阴心经和手太阳小肠经的交接,手少阴心经和手太阳小肠经在手小指端交接
手厥阴心包经和手少阳三焦经的交接,手厥阴心包经和手少阳三焦经在无名指端交接
足阳明胃经和足太阴脾经的交接,足阳明胃经和足太阴脾经在足大趾内端交接
足太阳膀胱经和足少阴肾经的交接,足太阳膀胱经和足少阴肾经在足小趾端交接
足少阳胆经和足厥阴肝经的交接。,足少阳胆经和足厥阴肝经在足大趾外端交接。
手阳明大肠经与足阳明胃经的交接；,手阳明大肠经与足阳明胃经在鼻旁交接；
手太阳小肠经与足太阳膀胱经的交接；,手太阳小肠经与足太阳膀胱经在目内眦交接；
手少阳三焦经与足少阳胆经的交接。,手少阳三焦经与足少阳胆经在目外眦交接。
足太阴脾经与手少阴心经的交接，,足太阴脾经与手少阴心经在心中交接，
足少阴肾经与手厥阴心包经的交接,足少阴肾经与手厥阴心包经在胸中交接
足厥阴肝经与手太阴肺经的交接,足厥阴肝经与手太阴肺经在肺中交接。
十二皮部的分布区域,"十二皮部的分布区域，是以十二经脉体表的分布范围为依据的，是十二
经脉在皮肤上分属的部位。《素问·皮部论》指出：“欲知皮部，以经脉
为纪者，诸经皆然。”"
十二经脉“标“部与“本”部的覆盖范围分别是,（1）十二经脉“标”部分布在头、胸背部。（2）十二经脉“本”部分布在四肢肘膝以下的一定部位。
经络中“标本”的含义以及意义,标本中“标”原义指树梢，引申为上部，与人体头面胸背的位置相应；标本中“本”原义指树根，引申为下部，与人体四肢下端相应。主要指经脉腧穴分布部位的上下对应关系。
经络中“根结”的含义以及意义,根结中“根”指根本、开始，即四肢末端井穴；“结”指结聚、归结，即 头、胸、腹部。 主要反映经气的所起与所归，以及经气上下两极间的关系。
经络中的“标本“理论与”根结”理论的相同点与不同点,（1）相同点：十二经脉的“根”与“本”，“结”与“标”位置相近或相同，意义也相 似。“根”有“本”意，“结”有“标”意。“根”与“本”部位在下，皆经气始生始发之地，为经气所出；“结”与“标”部位在上，皆为经气所结、所聚之处，为经气之所归。（2）不同点：二者具体内容上又有所区别，即“根之上有本”，“结之外有标”，“标本”的范围较“根结”为广。“标本”理论强调经脉分布上下部位的相应关系；而“根结”理论则强调经气两极间的联系。 
经络中的“标本根结”理论的重要意义,标本根结理论补充说明了经气的流注运行状况，即经气循行的多样性和弥散作用，强调了人体四肢与头身的密切联系，为四肢肘膝以下的腧穴治疗远隔部位的脏腑及头面五官疾病提供了又一理论依据。 
经络中“气街”的含义,气街是经气聚集运行的共同通路。
“气街”的分布特点以及核心内容,气街具有横向为主、上下分部、紧邻脏腑、前后相连的特点，横贯脏腑经络，纵分头、胸、腹、胫是其核心内容
“气街“理论的重要意义,气街理论从另一个角度阐述了经气运行的规律，为临床配穴处方提供了理论依据。
经络中”四海“的含义,四海即髓海、血海、气海、水谷之海的总称，“海”是江河之水归聚之处。四海为人体气血精髓等精微物质汇聚之所。
四海的分布部位,髓海位于头部，气海位于胸部，水谷之海位于上腹部，血海位于下腹部
四海的作用意义,四海主持全身的气血、津液（1）脑部髓海为元神之府，是神气的本源、脏腑经络活动的主宰；（2）胸部为气海，宗气所聚之处，贯心脉而行呼吸；（3）胃为水谷之海，是营气、卫气的化源之地，即气血生化之源；（4）冲脉为血海，又称“十二经之海”，起于胞宫，与原气关系密切，为原气之所出，是人体生命活动的原动力。 
四海理论的重要意义,四海理论进一步明确了经气的组成和来源。四海病变，主要分为有余、 不足两大类，对临床辨证施治具有指导意义。 
经络的作用,"《灵枢·经脉》记载：“经脉者，所以能决死生，处百病，调虚实，不可 不通。”说明了经络在生理、病理和疾病的防治等方面的作用。其所以能决死生，是因为经络具有联系人体内外、运行气血的作用；处百病， 是因为经络具有抗御病邪、反映证候的作用；调虚实，是因为刺激经络有传导感应的作用。（一）联系脏腑，沟通内外
经络具有联络和沟通作用。人体的五脏六腑、四肢百骸、五官九窍、皮
肉筋骨等组织器官通过经络的联系而构成一个有机的整体，完成正常的
生理活动。十二经脉及其分支等纵横交错、入里出表、通上达下，联系
了脏腑器官，奇经八脉沟通于十二经之间，经筋、皮部联结了肢体筋肉
皮肤，从而使人体的各脏腑组织器官有机地联系起来，正如《灵枢·海
论》所说：“夫十二经脉者，内属于腑脏，外络于肢节。”

（二）运行气血，营养全身
《灵枢·本脏》说：“经脉者，所以行血气而营阴阳，濡筋骨，利关节者
也。”气血必须通过经络的传注，才能输布全身，以濡润全身各脏腑组
织器官，维持机体的正常功能。如营气之和调于五脏，洒陈于六腑，这
就为五脏藏精、六腑传化的功能活动提供了物质条件。
（三）抗御病邪，反映病候
《素问·气穴论》说“孙络”能“以溢奇邪，以通营卫”，这是因为孙络的分
布范围很广，最先接触到病邪。当疾病侵犯时，孙络和卫气发挥了重要
的抗御作用。
经络又是传注病邪的途径，当体表受到病邪侵犯时，可通过经络由表及
里、由浅入深。《素问·缪刺论》载：“夫邪之客于形也，必先舍于皮
毛，留而不去，入舍于孙脉，留而不去，入舍于络脉，留而不去，入舍
于经脉，内连五脏，散于肠胃。”说明经络是外邪内传的渠道，外邪从
皮毛腠理内传于脏腑。
经络也是病变相互传变的渠道，是脏腑之间、脏腑与体表组织器官之间
相互影响的途径。如心热移于小肠、肝病影响到胃、胃病影响到脾等，是脏腑病变通过经络传注而相互影响的结果。此外，内脏病变可通过经
络反映到体表组织器官，如《灵枢·邪客》说：“肺心有邪，其气留于两
肘；肝有邪，其气留于两腋；脾有邪，其气留于两髀；肾有邪，其气留
于两腘。”

（四）传导感应，调和阴阳
针刺中的得气和气行现象都是经络传导感应的功能表现。人身经络之气
发于周身腧穴，《灵枢·九针十二原》说：“节之交，三百六十五会，所
言节者，神气之所游行出入也。”所以针刺操作的关键在于调气，所
谓“刺之要，气至而有效”。当经络或内脏机能失调时，通过针灸等刺激
体表的一定穴位，经络可以将其治疗性刺激传导到有关的部位和脏腑，
从而发挥其调节人体脏腑气血的功能，使阴阳平复，达到治疗疾病的目
的。"
奇经八脉的命名与特点,"奇经八脉指督脉、任脉、冲脉、带脉、阴维脉、阳维脉、阴跷脉、阳跷脉八条，因与十二经脉不同而别道奇行，故称为奇经八脉。
特点：奇经八脉之“奇”，一指“异”，它们与十二正经不同，既不直属脏腑，除任、督外又无专属穴位和表里配合关系，且“别道奇行”。二指单数，偶之对，因奇经没有表里配合关系。"
