question,answer
针灸治疗疳证的方义,"疳积的针灸治疗选穴的方义是：脾胃乃后天之本，若脾胃功能旺盛，则生化之源可复。胃之募穴、腑之会穴中脘（在上腹部，前正中线上，当脐中上4寸），可和胃理肠，足阳明合穴、胃之下合穴足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）扶土而补中气；四缝（位于第2－第5指掌面，第1、2节横纹中央）为奇穴，是治疗疳积的经验穴。
""一定不要举例子"""
针灸治疗疳证的操作方法,"疳积的针灸治疗的操作方法是：四缝（位于第2－第5指掌面，第1、2节横纹中央）用三棱针点刺，出针后轻轻挤出液体，并用无菌干棉球擦干。一般采取速刺不留针。
""一定不要举例子""
"
疳证的其他治法有什么,"疳积的其他治法有：捏脊法、皮肤针法、割治法。
""一定不要举例子"""
捏脊法如何治疗疳证,"捏脊法治疗疳证应：沿患儿背部脊柱及其两侧由下而上用拇指、食指捏起皮肤，一捏一放，交替向上，3～5遍，每日1次。
""一定不要举例子"""
皮肤针法如何治疗疳证,"皮肤针法治疗疳证应选：脾俞、胃俞、夹脊穴（第7～12胸椎），从上到下轻轻叩刺，至局部潮红为度。
其中：脾俞在背部，当第十一胸椎棘突下，旁开1.5寸处。胃俞在背部，当第十二胸椎棘突下，旁开1.5寸。夹脊穴脊椎旁0.5寸处为穴位。
""一定不要举例子""
"
割治法如何治疗疳证,"割治法治疗疳证应：取鱼际部位，局部麻醉后，纵切约0.4cm，取出脂肪0.3g左右，然后进行外科包扎。
""一定不要举例子"""
针灸治疗疳证有什么注意事项,"1.针刺治疗本病有较好的疗效。因其他疾病如肠寄生虫病等引起的，要根治原发病。
 2.提倡母乳喂养，乳食须定时定量，不宜过饱，勿过食肥甘油腻、生冷。
""一定不要举例子"""
小儿脑性瘫痪的定义,"小儿脑性瘫痪是小儿脑性瘫痪简称脑瘫，是指由于不同原因引起的非进行性中枢性运动功能障碍，可伴有智力低下、惊厥、听觉与视觉障碍及学习困难等，是多种原因引起脑损伤而致的后遗症。本病属中医学“五软”“五迟”“胎弱”“胎怯”等范畴。其发生与先天不足、产伤、后天失养、病后失调等因素有关。病位在脑，与五脏皆密切相关。基本病机是脑髓失充，五脏不足。
""一定不要举例子"""
小儿脑性瘫痪的病因,"小儿脑性瘫痪的病因是：先天不足、产伤、后天失养、病后失调等因素有关。
""一定不要举例子"""
小儿脑性瘫痪的病位,"小儿脑性瘫痪的病位是在脑，与五脏皆密切相关。
""一定不要举例子"""
小儿脑性瘫痪的病机,"小儿脑性瘫痪的基本病机是脑髓失充，五脏不足。
""一定不要举例子"""
小儿脑性瘫痪的症状,"小儿脑性瘫痪的主要症状是智力低下，发育迟缓，四肢运动障碍。
""一定不要举例子"""
小儿脑性瘫痪的证型,"小儿脑性瘫痪的证型有：肝肾不足、心脾两虚、痰瘀阻络
""一定不要举例子"""
小儿脑性瘫痪之肝肾不足的症状,"小儿脑性瘫痪之肝肾不足的症状有：智力低下，发育迟缓，四肢运动障碍。兼见筋骨痿弱，发育迟缓，站立、行走或长齿迟缓，目无神采，面色不华，疲倦喜卧，舌质淡嫩，脉细弱。
""一定不要举例子"""
小儿脑性瘫痪之心脾两虚的症状,"小儿脑性瘫痪之心脾两虚的症状有：智力低下，发育迟缓，四肢运动障碍。兼语言发育迟缓，流涎不禁，食少，便溏，舌淡，苔白，脉细弱。
""一定不要举例子"""
小儿脑性瘫痪之痰瘀阻络的症状,"小儿脑性瘫痪之痰瘀阻络的症状有：智力低下，发育迟缓，四肢运动障碍。兼失语，痴呆，
手足软而不用，肢体麻木，舌淡紫或边有瘀点，苔黄腻，脉弦滑或涩。
""一定不要举例子"""
小儿脑性瘫痪的治法,"小儿脑性瘫痪的治法是健脑益智，化瘀通络
""一定不要举例子"""
针灸治疗小儿脑性瘫痪的选穴规律,"小儿脑性瘫痪的针灸治疗选穴以督脉及足少阳、手足阳明经穴及夹脊穴为主。
""一定不要举例子"""
针灸治疗小儿脑性瘫痪的主穴,"小儿脑性瘫痪的针灸治疗选穴的主穴是：百会（在头顶正中线与两耳尖联线的交点处）、四神聪（在百会前、后、左、右各开1寸处，因共有四穴，故又名四神聪）、夹脊（指脊椎旁0.5寸处为穴位）、悬钟（在小腿外侧，当外踝尖上3寸，腓骨前缘）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）。
""一定不要举例子"""
针灸治疗小儿脑性瘫痪的配穴,"小儿脑性瘫痪的针灸治疗配穴是：肝肾不足配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）；心脾两虚配心俞（在背部，当第5胸椎棘突下，旁开1.5寸）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）；痰瘀阻络配膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、丰隆（在小腿前外侧，当外踝尖上8寸，条口外，距胫骨前缘二横指）。语言障碍配通里（在前臂掌侧，当尺侧腕屈肌腱的桡侧缘，腕横纹上1寸）、廉泉（在颈部，当前正中线上，结喉上方，舌骨上缘凹陷处）、金津（在口腔内，当舌下系带左侧的静脉上。玉液位于舌系带右侧血脉上）、玉液（在口腔内，当舌下系带左侧的静脉上。玉液位于舌系带右侧血脉上）；颈软配天柱（在项部，大筋（斜方肌）外缘之后发际凹陷中，约当后发际正中旁开1.3寸）；上肢瘫配肩髃（在肩部，三角肌上，臂外展，或向前平伸时，当肩峰前下方凹陷处）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）；下肢瘫配环跳（在股外侧部，侧卧屈股，当股骨大转子最凸点与骶管裂孔连线的外三分与中三分交点处）、阳陵泉（在小腿外侧，当腓骨头前下方凹陷处）；腰部瘫软配腰阳关（在腰部，当后正中线上，第4腰椎棘突下凹陷中）。
""一定不要举例子"""
针灸治疗小儿脑性瘫痪的方义,"小儿脑性瘫痪的针灸治疗选穴的方义是百会（在头顶正中线与两耳尖联线的交点处）为督脉穴，督脉入络脑，故能健脑调神开窍；四神聪（在百会前、后、左、右各开1寸处，因共有四穴，故又名四神聪）为经外奇穴，有健脑益智之功；夹脊穴（指脊椎旁0.5寸处为穴位）通阳活络、强脊；悬钟（在小腿外侧，当外踝尖上3寸，腓骨前缘）为髓会，可益髓补脑，强壮筋骨；足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）培补后天之本，化生气血，滋养筋骨、脑髓；合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）调理气血，化瘀通络。
""一定不要举例子"""
针灸治疗小儿脑性瘫痪的操作,"小儿脑性瘫痪的针灸治疗的操作是：主穴可分为两组，即夹脊穴为一组，其余穴为一组，隔日交替使用。每日1次，每次留针30分钟或用速刺法，不留针。
""一定不要举例子"""
小儿脑性瘫痪的其他治疗有哪些,"小儿脑性瘫痪的其他治疗有：头针法、耳针法、穴位注射法。
""一定不要举例子"""
头针法治疗小儿脑性瘫痪应如何操作,"头针法治疗小儿脑性瘫痪应：选顶颞前斜线、枕下旁线；伴有智力障碍可选取额中线、顶中线、顶旁1线、顶旁2线。用1.5寸毫针迅速刺入帽状腱膜下，然后将针体与头皮平行，推送至所需的刺激区，留针30～60分钟，留针时可以自由活动。隔日1次。
""一定不要举例子"""
耳针法治疗小儿脑性瘫痪应如何操作,"耳针法治疗小儿脑性瘫痪应选：交感（在对耳轮下脚前端与耳轮内缘交界处）、神门（在对耳轮上下脚分叉处稍上方，与髋穴相近）、脑干（在位于耳屏切迹处）、皮质下（在对耳屏内侧面）、心（在耳甲腔中心凹陷处）、肝（在耳背中部的外侧）、肾（在耳背下部，相当于耳垂的耳背面）、脾（在耳背中部的中央）。上肢瘫痪加肩（在屏上切迹同水平的耳舟部）、肘（在腕与肩穴）、腕（在耳轮结节突起处的耳舟部）；下肢瘫痪加髋（在对耳轮上脚的后1/3部（与腰骶椎穴相近））、膝（在对耳轮上脚的中1/3部）、踝（踝在在趾、跟区下方处）。耳穴压丸，两耳交替，3～4日1次。
""一定不要举例子"""
穴位注射法治疗小儿脑性瘫痪应如何操作,"穴位注射法治疗小儿脑性瘫痪应选：大椎、足三里、阳陵泉、曲池、合谷。用10%葡萄糖注射液或维生素B1、B12注射液等，每次每穴注入0.5～1mL，隔日1次。
""一定不要举例子"""
针灸治疗小儿脑性瘫痪的注意事项,"针灸治疗小儿脑性瘫痪的注意事项有：1.针灸治疗本病有一定效果，可配合功能训练和智力培训。提倡早期治疗。2.本病注意与佝偻病相鉴别。
""一定不要举例子"""
小儿多动症的定义,"小儿多动症指小儿智力正常或接近正常，有不同程度的学习困难、自我 控制能力弱、活动过多、注意力不集中、情绪不稳定和行为异常等症 状，又称注意力缺陷多动障碍，与多种生物因素、心理因素及社会因素 等有关。近半数患者在4岁以前起病，男孩多于女孩。
""一定不要举例子"""
小儿多动症的病因,"小儿多动症的病因是：与多种生物因素、心理因素及社会因素等有关。与先天禀赋不足、后天护养不当、外伤或情志失调等因素有关。
""一定不要举例子"""
小儿多动症的病位,"小儿多动症的病位是在心、脑，与肝、脾、肾关系密切。
""一定不要举例子"""
小儿多动症的病机,"小儿多动症的基本病机是心神失养或元神受扰。
""一定不要举例子"""
小儿多动症的症状,"小儿多动症的主要症状有：注意力不集中、活动过多及冲动任性，伴有不同程度的学习困难
并持续6个月以上，智力接近正常或完全正常。
""一定不要举例子"""
小儿多动症的证型,"小儿多动症的证型有：肝肾阴虚、心脾两虚、痰火内扰。
""一定不要举例子"""
小儿多动症之肝肾阴虚的症状,"小儿多动症之肝肾阴虚的主要症状有：注意力不集中、活动过多及冲动任性，伴有不同程度的学习困难并持续6个月以上，智力接近正常或完全正常。兼见遗尿、腰酸乏力，或五心烦热、盗汗、大便秘结，舌质红，苔薄，脉细弦。
""一定不要举例子"""
小儿多动症之心脾两虚的症状,"小儿多动症之心脾两虚的主要症状有：注意力不集中、活动过多及冲动任性，伴有不同程度的习困难并持续6个月以上，智力接近正常或完全正常。兼神思涣散，神疲乏力，形体消瘦或虚胖，多动而不暴躁，言语冒失，睡眠不实，伴偏食纳少，面色无华，舌质淡，苔薄白，脉虚弱。
""一定不要举例子"""
小儿多动症之痰火内扰的症状,小儿多动症之痰火内扰的主要症状有：意力不集中、活动过多及冲动任性，伴有不同程度的学习困难并持续6个月以上，智力接近正常或完全正常。兼烦躁不宁，胸中烦热，失眠，纳少口苦，便秘尿赤，舌质红，苔黄腻，脉滑数。
小儿多动症的治法,"小儿多动症的治法是健脑益智，安神定志
""一定不要举例子"""
针灸治疗小儿多动症的选穴规律,"小儿多动症的针灸治疗选穴以督脉及手少阴、手足厥阴经穴为主。
""一定不要举例子""
"
针灸治疗小儿多动症的主穴,"小儿多动症的针灸治疗选穴的主穴是：百会（在头顶正中线与两耳尖联线的交点处）、印堂（在额部，当两眉头之中间）、风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）、神门（在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处）、内关（在前臂掌侧，当曲池与大陵的连线上，腕横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）。
""一定不要举例子"""
针灸治疗小儿多动症的配穴,"小儿多动症的针灸治疗选穴的配穴是：肝肾阴虚配太溪（位于足内踝尖与跟腱水平连线的中点处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）；心脾两虚配心俞（在背部，当第5胸椎棘突下，旁开1.5寸）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）；痰火内扰配丰隆（在小腿前外侧，当外踝尖上8寸，条口外，距胫骨前缘二横指）、劳宫（在手掌心，当第2、3掌骨之间偏于第3掌骨，握拳屈指时中指尖处）。烦躁不安配照海（在足内侧，内踝尖下方凹陷处）、神庭（在头部，当前发际正中直上0.5寸）；记忆力差配悬钟（在小腿外侧，当外踝尖上3寸，腓骨前缘）；盗汗配阴郄（在前臂掌侧，当尺侧腕屈肌腱的桡侧缘，腕横纹上0.5寸）、复溜（在小腿内侧，太溪直上2寸，跟腱的前方）；纳少配中脘（在上腹部，前正中线上，当脐中上4寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）；遗尿配中极（在下腹部，前正中线上，当脐中下4寸）、膀胱俞（位于身体骶部，第二骶椎棘突下，旁开1.5寸，与第二骶后孔齐平）。
""一定不要举例子"""
针灸治疗小儿多动症的方义,"小儿多动症的针灸治疗主穴的方义是百会（在头顶正中线与两耳尖联线的交点处）、印堂（在额部，当两眉头之中间）为督脉穴，可安神定志，益智健脑；风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）潜阳息风；神门（在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处）为心之原穴，内关（在前臂掌侧，当曲池与大陵的连线上，腕横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）为心包经络穴，可宁心安神。

""一定不要举例子""
"
针灸治疗小儿多动症的操作方法,"小儿多动症的针灸治疗的操作是风池、太冲用泻法，太溪用补法，其余主穴用平补平泻法。
""一定不要举例子"""
小儿多动症的其他治疗法,"小儿多动症的其他治疗法有：耳针法、头针法
""一定不要举例子"""
耳针法治疗小儿多动症应如何操作,"耳针法治疗小儿多动症应选：脑干（在位于耳屏切迹处）、心（在耳甲腔中心凹陷处）、肝（在耳背中部的外侧）、肾（在耳背下部，相当于耳垂的耳背面）、皮质下（在对耳屏内侧面）、肾上腺（在耳屏下部隆起的尖端）、交感（在对耳轮下脚前端与耳轮内缘交界处）、枕（在对耳屏外侧面的后上方）。每次取2～4穴，毫针刺或用埋针法、压丸法。

""一定不要举例子"""
头针法治疗小儿多动症应如何操作,"头针法治疗小儿多动症应选：顶颞前斜线、额中线、顶中线、顶旁1线、顶旁2线、颞前线。头针常规针刺。
""一定不要举例子"""
针灸治疗小儿多动症的注意事项,"针灸治疗小儿多动症应注意：1.针灸能较好地减轻临床症状。2.加强教育与诱导，给予必要的心理治疗，配合行为纠正，培养患儿养成良好的生活习惯。
""一定不要举例子"""
隐疹的定义,"隐疹是以皮肤上出现风团，伴有瘙痒为主症的病证，又称为“风疹”“风疹块”。其发生常与体质素虚，凑理不固，风邪侵袭，或食用鱼虾荤腥食物等因素有关。本病病位在肌肤腠理。基本病机是营卫失和，邪郁腠理。本病相当于西医学的急、慢性荨麻疹，为过敏性皮肤病。
""一定不要举例子"""
隐疹的病因,"其发生常与体质素虚，凑理不固，风邪侵袭，或食用鱼虾荤腥食物等因素有关。
""一定不要举例子"""
隐疹的病位,"本病病位在肌肤腠理。
""一定不要举例子"""
隐疹的基本病机,"基本病机是营卫失和，邪郁腠理。
""一定不要举例子"""
西医对隐疹的认识,"隐疹相当于西医学的急、慢性荨麻疹，为过敏性皮肤病。
""一定不要举例子"""
中医对隐疹的认识,"隐疹是以皮肤上出现风团，伴有瘙痒为主症的病证，又称为“风疹”“风疹块”。其发生常与体质素虚，凑理不固，风邪侵袭，或食用鱼虾荤腥食物等因素有关。本病病位在肌肤腠理。基本病机是营卫失和，邪郁腠理。
""一定不要举例子""
"
隐疹病位,"隐疹病位在肌肤腠理
""一定不要举例子"""
隐疹的病基,"隐疹的基本病机是营卫失和，邪郁腠理。
""一定不要举例子"""
隐疹的症状,"隐疹的主要症状是：皮肤上出现风团，发无定处，时发时退，伴有瘙痒，消退后不留痕迹。急性者发病急骤，初起皮肤瘙痒、潮红，继则皮肤上突然出现大小不等、形状不一的皮疹，搔抓后疹块连片，其色或红或白，高起皮肤，边界清楚，发病迅速，消退亦快，消退后不留任何痕迹。慢性者常反复发作，缠绵难愈。
""一定不要举例子"""
隐疹的特点,"隐疹的特点是皮肤上出现风团，发无定处，时发时退，伴有瘙痒，消退后不留痕迹。
""一定不要举例子"""
隐疹的证型,"隐疹辨证当辨别以下证型，若症见风团色红，灼热剧痒，遇热加重，舌红，苔薄黄，脉浮数，为风热袭表；风团色白，遇风寒加重，舌淡，苔薄白，脉浮紧，为风寒袭表；风团色红，脘腹疼痛，恶心呕吐，舌红，苔黄腻，脉滑数，为胃肠积热；风疹反复发作，午后或夜间加剧，口干，舌红，苔少，脉细数无力，为血虚风燥。
""一定不要举例子"""
隐疹治疗方法,"隐疹的治疗包括针灸基本治疗和其他治疗
""一定不要举例子"""
隐疹的治法,"隐疹的治法是：祛风止痒，养血和营。
""一定不要举例子"""
针灸治疗隐疹的选穴规律,"隐疹的的针灸治疗选穴以手阳明、足太阴、足太阳经穴为主。
""一定不要举例子"""
针灸治疗隐疹的主穴,"隐疹的的针灸治疗选穴的主穴是：曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）、血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、委中（在腘横纹中点，当股二头肌腱与半腱肌肌腱的中间）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）。
""一定不要举例子"""
针灸治疗隐疹的配穴,"隐疹配穴如果是风热袭表配大椎（在后背正中线上，第七颈椎棘突下凹陷中）、风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）；风寒袭表配风门（在背部，当第2胸椎棘突下，旁开1.5寸）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）；胃肠积热配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、天枢（在腹部，肚脐旁开两寸）；血虚风燥配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。呼吸困难配天突（在颈部，当前正中线上，胸骨上窝中央）；恶心呕吐配内关（在前臂掌侧，当曲池与大陵的连线上，腕横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间）。
""一定不要举例子"""
针灸治疗隐疹选穴的方义,"隐疹选穴的方义：病在阳之阳（皮肤）者，取阳之合，故取手阳明大肠经之合穴曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点），与合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）同用，善于开泄，既可疏风解表，又能清泻阳明，无论外邪侵袭还是胃肠积热者皆可用之；本病邪在营血，膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）为血之会穴，可活血祛风；委中（在腘横纹中点，当股二头肌腱与半腱肌肌腱的中间）又名血郄，亦为阳之合，与血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）同用，可理血和营。
""一定不要举例子"""
针灸治疗隐疹的操作方法,"隐疹针刺操作：毫针浅刺。委中（在腘横纹中点，当股二头肌腱与半腱肌肌腱的中间）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）可点刺出血。急性者每日1～2次，慢性者隔日1次。
""一定不要举例子"""
隐疹的其他治疗包括什么,"隐疹的其他治疗包括拔罐、穴位注射、穴位埋线。
""一定不要举例子"""
拔罐怎样治疗隐疹," 拔罐治疗隐疹选取神阙。拔火罐，留罐5分钟后起罐，反复拔3次，或用闪罐法，以局部充血为度。适用于急性荨麻疹，见效较快。
""一定不要举例子"""
穴位注射如何治疗隐疹,"穴位注射治疗隐疹选取曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。每次交替选用2穴，5%当归注射液，每穴注入2mL药液。
""一定不要举例子"""
穴位埋线如何治疗隐疹,"穴位埋线治疗隐疹选取大椎（后背正中线上，第七颈椎棘突下凹陷中）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。每次选2～3穴。适用于慢性荨麻疹。
""一定不要举例子"""
针灸治疗隐疹效果怎么样,"针灸治疗本病效果较好，但部分慢性者较难根治。
""一定不要举例子"""
针灸治疗隐疹的注意事项,"隐疹要注意避风寒，忌食鱼腥虾蟹、辛辣等食物，饮食宜清淡，远离过敏源。
""一定不要举例子"""
湿疹的定义,"湿疹是以皮肤呈丘疹、疱疹、渗出、肥厚等多形性损害，并反复发作为临床表现的疾病。西医学认为本病是一种变态反应性慢性皮肤病，病因尚不清楚，可能与体质、感染、精神因素、消化系统功能障碍、内分泌与代谢紊乱有关。临床上又分急性、亚急性和慢性。
""一定不要举例子""
"
湿疹的病因,"湿疹的发生内因主要与体质、情志、腑脏功能失调有关，外因主要与风、湿、热邪及饮食不当有关。湿邪是主要因素，湿性黏腻、重浊，故病多迁延。
""一定不要举例子"""
湿疹的病位,"湿疹的病位在皮肤。
""一定不要举例子"""
湿疹的基本病机,"湿疹的基本病机是：湿热相搏，化燥生风，皮肤受损。
""一定不要举例子"""
西医对于湿疹的认识,"。西医学认为本病是一种变态反应性慢性皮肤病，病因尚不清楚，可能与体质、感染、精神因素、消化系统功能障碍、内分泌与代谢紊乱有关。临床上又分急性、亚急性和慢性。
""一定不要举例子"""
中医对于湿疹的认识,"湿疹属中医学湿疮范畴，其发生内因主要与体质、情志、腑脏功能失调有关，外因主要与风、湿、热邪及饮食不当有关。湿邪是主要因素，湿性黏腻、重浊，故病多迁延。本病病位在皮肤。基本病机是湿热相搏，化燥生风，皮肤受损。
""一定不要举例子"""
湿疹的证型,"湿疹辨证
1、若见发病急，病程短，局部皮损初起，皮肤焮红潮热，身热口渴，大便秘结，小便短赤，舌质红，舌苔黄腻，脉滑数，为湿热浸淫；
2、发病较缓，皮肤轻度潮红，渗液浸淫、糜烂，身倦神疲，胸闷纳呆，大便或溏，舌质淡红，苔白腻或淡黄腻，脉濡，为脾虚湿蕴；
3、病情迁延反复，皮肤粗糙脱屑、开裂，头昏乏力，舌淡苔白，脉细，为血虚风燥。
""一定不要举例子"""
湿疹的症状,"皮疹呈多形性损害。急性期多见红斑、丘疹、水疱、渗出、糜烂、结痂等；慢性期多见皮肤呈褐红色、浸润、肥厚、粗糙、皲裂、苔藓样改变等。皮损可呈对称性分布，瘙痒剧烈，遇热或入睡时加剧。
""一定不要举例子"""
湿疹的特点,"皮疹呈多形性损害。急性期多见红斑、丘疹、水疱、渗出、糜烂、结痂等；慢性期多见皮肤呈褐红色、浸润、肥厚、粗糙、皲裂、苔藓样改变等。皮损可呈对称性分布，瘙痒剧烈，遇热或入睡时加剧。
""一定不要举例子"""
湿疹之湿热浸淫的症状,"湿疹之湿热浸淫证症见发病急，病程短，局部皮损初起，皮肤焮红潮热，身热口渴，大便秘结，小便短赤，舌质红，舌苔黄腻，脉滑数。
""一定不要举例子"""
湿疹之脾虚湿蕴的症状,"湿疹之脾虚湿蕴证症见；发病较缓，皮肤轻度潮红，渗液浸淫、糜烂，身倦神疲，胸闷纳呆，大便或溏，舌质淡红，苔白腻或淡黄腻，脉濡。
""一定不要举例子"""
湿疹之血虚风燥的症状,"湿疹之血虚风燥症见病情迁延反复，皮肤粗糙脱屑、开裂，头昏乏力，舌淡苔白，脉细。
""一定不要举例子"""
湿疹的治疗方法,"湿疹的治疗包括针灸基本治疗和其他治疗
""一定不要举例子"""
湿疹的治法,"湿疹的治法是：清热利湿。
""一定不要举例子"""
针灸治疗湿疹的选穴规律,"湿疹的针灸治疗选穴以手阳明、足太阴经穴为主。
""一定不要举例子"""
针灸治疗湿疹的主穴,"湿疹的针灸治疗选穴的主穴是：曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、阴陵泉（在小腿内侧，当胫骨内侧髁后下方凹陷处）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、风市（大腿外侧部的中线上，当腘横纹上7寸）。
""一定不要举例子""。
"
针灸治疗湿疹的配穴,"湿疹的针灸治疗选穴的配穴是：
1、湿热浸淫配合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）、内庭（在足背，当2、3趾间，趾蹼缘后方赤白肉际处）；
2、脾虚湿蕴配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、脾俞（在背部，当第十一胸椎棘突下，旁开1.5寸处）；
3、血虚风燥配膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
4、阴囊湿疹配箕门（在大腿内侧，当血海与冲门连线上，血海上6寸）、曲泉（在膝内侧，屈膝，当膝关节内侧面横纹内侧端，股骨内侧髁的后缘，半腱肌、半膜肌止端的前缘凹陷处）、蠡沟（在小腿内侧，当足内踝尖上5寸，胫骨内侧面的中央）；
5、肛门湿疹配长强（在尾骨端下，当尾骨端与肛门连线的中点处）；
6、肘、膝窝湿疹配尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）、委中（在腘横纹中点，当股二头肌腱与半腱肌肌腱的中间）；
7、面部湿疹配风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、颧髎（在面部，当目外眦直下，颧骨下缘凹陷处）。
""一定不要举例子"""
针灸治疗湿疹的方义,"湿疹的选穴方义：曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）清泻阳明热邪；阴陵泉（在小腿内侧，当胫骨内侧髁后下方凹陷处）清化湿浊；血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）活血袪风；患部阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）用毫针围刺可疏调局部经络之气，配合风市（在大腿外侧部的中线上，当腘横纹上7寸）以祛风止痒。
""一定不要举例子"""
湿疹的其他治疗包括哪些,"湿疹的其他治疗包括穴位注射法和皮肤针法
""一定不要举例子"""
穴位注射怎样治疗湿疹,"穴位注射治疗湿疹选取：曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、大椎（在后背正中线上，第七颈椎棘突下凹陷中）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）。苦参注射液或板蓝根注射液、当归注射液，每次选2穴，每穴注射2mL。
""一定不要举例子"""
皮肤针怎样治疗湿疹,"皮肤针治疗湿疹选取大椎（在后背正中线上，第七颈椎棘突下凹陷中）、大杼至白环俞。叩刺强度中等，至皮肤潮红为度。
""一定不要举例子"""
针灸治疗湿疹效果怎么样,"针灸治疗本病能较好缓解症状，但对慢性患者较难根治。
""一定不要举例子"""
湿疹注意事项,"忌食鱼虾、浓茶、咖啡、辛辣等食物，远离过敏源。避免精神紧张，防止过度劳累。
""一定不要举例子"""
蛇串疮的定义,"蛇串疮是以皮肤突发簇集状疱疹，呈带状分布，并伴强烈痛感为主症的病证。因其疱疹常累如串珠，分布于腰、胁部，状如蛇形，名“蛇串疮”，又称为“蛇丹”“缠腰火丹”等。其发生常与情志不畅、过食辛辣厚味、感受火热时毒等因素有关。本病病位在皮部，主要与肝、脾相关。基本病机是火毒湿热蕴蒸于肌肤、经络。本病相当于西医学的带状疱疹，是由水痘-带状疱疹病毒所致的急性疱疹性皮肤病。
""一定不要举例子"""
